,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,3,6,2,2,0.500,1.000,0.500,0.613
1,"(15, 24]","(0, 5]",Male,2,3,9,9,0.667,1.000,0.667,0.686
2,"(15, 24]","(5, 10]",Female,3,3,2,4,1.000,0.500,2.000,2.383
3,"(15, 24]","(5, 10]",Male,2,2,7,4,1.000,1.750,0.571,0.675
4,"(15, 24]","(10, 15]",Female,10,15,3,5,0.667,0.600,1.111,0.931
5,"(15, 24]","(10, 15]",Male,26,19,20,32,1.368,0.625,2.189,0.916
6,"(15, 24]","(15, 20]",Female,15,20,13,27,0.750,0.481,1.558,0.752
7,"(15, 24]","(15, 20]",Male,63,54,147,194,1.167,0.758,1.540,0.340
8,"(15, 24]","(20, 25]",Female,6,11,8,12,0.545,0.667,0.818,0.560
9,"(15, 24]","(20, 25]",Male,19,14,56,87,1.357,0.644,2.108,0.833
10,"(15, 24]","(25, 30]",Male,5,2,18,19,2.500,0.947,2.639,2.376
11,"(15, 24]","(30, 35]",Male,6,2,4,6,3.000,0.667,4.500,4.689
12,"(15, 24]","(35, 40]",Female,1,1,3,1,1.000,3.000,0.333,0.609
13,"(15, 24]","(35, 40]",Male,5,5,5,9,1.000,0.556,1.800,1.521
14,"(15, 24]","(45, 50]",Male,8,1,3,2,8.000,1.500,5.333,7.468
15,"(15, 24]","(50, 55]",Male,2,3,2,1,0.667,2.000,0.333,0.509
16,"(24, 34]","(0, 5]",Female,6,15,6,14,0.400,0.429,0.933,0.643
17,"(24, 34]","(0, 5]",Male,14,7,13,13,2.000,1.000,2.000,1.218
18,"(24, 34]","(5, 10]",Female,12,20,8,22,0.600,0.364,1.650,0.913
19,"(24, 34]","(5, 10]",Male,6,5,11,15,1.200,0.733,1.636,1.188
20,"(24, 34]","(10, 15]",Female,2,7,1,10,0.286,0.100,2.857,3.775
21,"(24, 34]","(10, 15]",Male,2,10,6,10,0.200,0.600,0.333,0.311
22,"(24, 34]","(15, 20]",Male,5,15,21,34,0.333,0.618,0.540,0.318
23,"(24, 34]","(20, 25]",Female,2,5,2,4,0.400,0.500,0.800,0.964
24,"(24, 34]","(20, 25]",Male,9,16,34,57,0.562,0.596,0.943,0.445
25,"(24, 34]","(25, 30]",Female,7,3,3,1,2.333,3.000,0.778,1.047
26,"(24, 34]","(25, 30]",Male,9,9,24,39,1.000,0.615,1.625,0.878
27,"(24, 34]","(30, 35]",Female,2,2,2,2,1.000,1.000,1.000,1.415
28,"(24, 34]","(30, 35]",Male,4,5,22,19,0.800,1.158,0.691,0.513
29,"(24, 34]","(35, 40]",Male,5,1,5,13,5.000,0.385,13.000,15.812
30,"(24, 34]","(40, 45]",Male,2,5,8,6,0.400,1.333,0.300,0.299
31,"(24, 34]","(45, 50]",Female,1,1,1,2,1.000,0.500,2.000,3.743
32,"(24, 34]","(45, 50]",Male,5,1,7,2,5.000,3.500,1.429,1.941
33,"(24, 34]","(50, 55]",Male,1,1,3,2,1.000,1.500,0.667,1.123
34,"(24, 34]","(65, 70]",Male,1,1,3,1,1.000,3.000,0.333,0.609
35,"(34, 54]","(0, 5]",Male,3,9,6,5,0.333,1.200,0.278,0.251
36,"(34, 54]","(5, 10]",Female,10,14,5,5,0.714,1.000,0.714,0.541
37,"(34, 54]","(5, 10]",Male,8,18,8,14,0.444,0.571,0.778,0.479
38,"(34, 54]","(10, 15]",Female,9,19,3,17,0.474,0.176,2.684,2.006
39,"(34, 54]","(10, 15]",Male,5,23,12,38,0.217,0.316,0.688,0.411
40,"(34, 54]","(15, 20]",Female,3,11,3,9,0.273,0.333,0.818,0.764
41,"(34, 54]","(15, 20]",Male,6,15,7,37,0.400,0.189,2.114,1.347
42,"(34, 54]","(20, 25]",Female,2,6,1,3,0.333,0.333,1.000,1.415
43,"(34, 54]","(20, 25]",Male,6,9,3,14,0.667,0.214,3.111,2.575
44,"(34, 54]","(25, 30]",Male,4,11,6,22,0.364,0.273,1.333,0.994
45,"(34, 54]","(30, 35]",Male,6,10,8,11,0.600,0.727,0.825,0.575
46,"(34, 54]","(35, 40]",Female,1,2,2,3,0.500,0.667,0.750,1.146
47,"(34, 54]","(35, 40]",Male,4,12,6,21,0.333,0.286,1.167,0.865
48,"(34, 54]","(40, 45]",Male,7,7,5,11,1.000,0.455,2.200,1.674
49,"(34, 54]","(45, 50]",Male,6,8,5,7,0.750,0.714,1.050,0.838
50,"(34, 54]","(50, 55]",Male,2,3,3,4,0.667,0.750,0.889,1.059
51,"(34, 54]","(55, 60]",Female,1,2,1,1,0.500,1.000,0.500,0.936
52,"(34, 54]","(55, 60]",Male,5,2,1,1,2.500,1.000,2.500,4.110
53,"(34, 54]","(60, 65]",Male,3,2,1,4,1.500,0.250,6.000,8.665
54,"(34, 54]","(65, 70]",Male,10,3,2,3,3.333,0.667,5.000,5.633
55,"(54, 100]","(5, 10]",Male,2,3,1,8,0.667,0.125,5.333,7.468
56,"(54, 100]","(10, 15]",Male,1,6,2,5,0.167,0.400,0.417,0.570
57,"(54, 100]","(20, 25]",Male,1,1,1,3,1.000,0.333,3.000,5.479
58,"(54, 100]","(25, 30]",Male,1,2,1,5,0.500,0.200,2.500,4.110
59,"(54, 100]","(55, 60]",Male,3,8,1,3,0.375,0.333,1.125,1.507
60,"(54, 100]","(60, 65]",Male,8,8,2,1,1.000,2.000,0.500,0.662
61,"(54, 100]","(65, 70]",Male,7,2,2,2,3.500,1.000,3.500,4.490
62,"(54, 100]","(70, 75]",Male,8,6,2,3,1.333,0.667,2.000,2.124
